Libellé;Lien;État
How to Meet WCAG 2.1 - Quick reference;https://www.w3.org/WAI/WCAG22/quickref/?versions=2.1;OK
Understanding WCAG 2.0 - A guide to understanding and implementing Web Content Accessibility Guidelines 2.0;https://www.w3.org/TR/UNDERSTANDING-WCAG20/Overview.html;OK
Introduction à Comprendre les WCAG 2.0;https://www.w3.org/Translations/NOTE-UNDERSTANDING-WCAG20-fr/Overview.html;OK
Web Content Accessibility Guidelines (WCAG) 2.1  – version anglaise;https://www.w3.org/TR/WCAG21/;OK
Règles pour l'accessibilité des contenus Web (WCAG) 2.0 – version française;https://www.w3.org/Translations/WCAG20-fr/;OK
Accessible Rich Internet Applications (WAI-ARIA) 1.1;https://www.w3.org/TR/wai-aria-1.1/;OK
Rôles ARIA pour le web;https://www.w3.org/TR/wai-aria-1.1/#role_definitions;OK
Rôles ARIA DPUB (Digital publication);https://www.w3.org/TR/dpub-aria-1.0/#roles;OK
Accessible Publishing Knowledge Base - HTML;http://kb.daisy.org/publishing/docs/html/;OK
Ressources pour la production de livres nativement accessibles – SNE – Commission numérique – groupe normes et standards;https://www.sne.fr/numerique-2/ressources-pour-la-production-de-livres-nativement-accessibles/;OK
[EPUB 3Overview] EPUB 3 Overview;https://www.w3.org/TR/epub-overview-33/;OK
[ContentDocs32] EPUB Content Documents 3.2;https://www.w3.org/TR/epub/#sec-contentdocs;OK
[OCF32] EPUB Open Container Format (OCF) 3.2;https://www.w3.org/TR/epub/#sec-ocf;OK
[Packages32] EPUB Packages 3.2;https://www.w3.org/publishing/epub32/epub-packages.html;OK but non applicable for 3.3
[SVG] Scalable Vector Graphics (SVG) 1.1 (Second Edition);https://www.w3.org/TR/SVG11/;OK
[StructureVocab] EPUB 3 Structural Semantics Vocabulary;https://idpf.github.io/epub-vocabs/structure/;OK
[EPUB 32Changes] EPUB 3.2 Changes;https://www.w3.org/publishing/epub32/epub-changes.html;OK but non applicable for 3.3
